epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,305.637,0.93598,3.05687,1.34391,0.63433,0.30827,0.31344,0.25046,0.8087,2.00016,1.17848,0.00332678,0.00332678,0.00332678
2,597.83,0.81779,1.56059,1.20607,0.60458,0.39087,0.41739,0.34119,0.73887,1.70941,1.15791,0.00652825,0.00652825,0.00652825
3,896.68,0.87636,1.48945,1.23996,0.52454,0.34328,0.33851,0.26086,0.8604,2.0654,1.2522,0.00959771,0.00959771,0.00959771
4,1198.79,0.92365,1.51846,1.26816,0.57314,0.41107,0.43691,0.34323,0.83939,1.51048,1.22619,0.009406,0.009406,0.009406
5,1496,0.87002,1.33017,1.23091,0.65009,0.43189,0.47497,0.37693,0.8583,1.51913,1.25149,0.009208,0.009208,0.009208
6,1794.34,0.83284,1.21952,1.21143,0.59884,0.5366,0.57566,0.47517,0.75229,1.19072,1.1407,0.00901,0.00901,0.00901
7,2091.3,0.8062,1.13733,1.19086,0.59835,0.57079,0.59987,0.49037,0.70449,1.05852,1.10411,0.008812,0.008812,0.008812
8,2388.37,0.7763,1.06411,1.17246,0.65249,0.56796,0.63273,0.52392,0.68093,0.99727,1.07963,0.008614,0.008614,0.008614
9,2685.22,0.75857,1.01355,1.15892,0.64108,0.61382,0.65722,0.54916,0.6705,0.90855,1.07874,0.008416,0.008416,0.008416
10,2984.75,0.73586,0.97401,1.14418,0.7105,0.62814,0.6928,0.57899,0.65804,0.85131,1.0629,0.008218,0.008218,0.008218
11,3283.59,0.71926,0.92432,1.13636,0.69662,0.6555,0.71564,0.60215,0.66021,0.7898,1.07205,0.00802,0.00802,0.00802
12,3579.42,0.71002,0.89017,1.13131,0.76281,0.64814,0.73317,0.61356,0.64445,0.79044,1.05956,0.007822,0.007822,0.007822
13,4082.15,0.70091,0.86087,1.12816,0.75864,0.63647,0.74051,0.62111,0.63289,0.78283,1.04213,0.007624,0.007624,0.007624
14,4870.6,0.69051,0.84406,1.1188,0.78446,0.66725,0.77808,0.66056,0.62271,0.69261,1.03068,0.007426,0.007426,0.007426
15,5503.25,0.67834,0.82543,1.11019,0.76326,0.68653,0.78221,0.66396,0.62325,0.71282,1.03923,0.007228,0.007228,0.007228
16,5791.88,0.66968,0.79837,1.10775,0.74598,0.69707,0.75508,0.6453,0.617,0.71986,1.02248,0.00703,0.00703,0.00703
17,6076.31,0.66262,0.78875,1.09878,0.73907,0.74269,0.79705,0.68485,0.61202,0.68689,1.02223,0.006832,0.006832,0.006832
18,6360.58,0.65313,0.76473,1.09758,0.75923,0.77343,0.81138,0.69776,0.60797,0.61657,1.02312,0.006634,0.006634,0.006634
19,6649.61,0.6448,0.75134,1.09211,0.77455,0.73707,0.79669,0.68847,0.61194,0.6548,1.02663,0.006436,0.006436,0.006436
20,6940.83,0.64238,0.73479,1.09158,0.76172,0.76421,0.80753,0.69438,0.59517,0.63348,1.01196,0.006238,0.006238,0.006238
21,7232.87,0.63667,0.71902,1.08603,0.83778,0.75003,0.81838,0.70673,0.5912,0.61146,1.01011,0.00604,0.00604,0.00604
22,7514.52,0.62643,0.71174,1.07949,0.77028,0.75546,0.82148,0.70967,0.58012,0.59119,1.0021,0.005842,0.005842,0.005842
23,7797.55,0.62664,0.69663,1.08309,0.80636,0.7717,0.8374,0.72835,0.58348,0.56875,0.99997,0.005644,0.005644,0.005644
24,8071.84,0.61678,0.68378,1.07558,0.81805,0.77508,0.8287,0.72021,0.5827,0.56882,1.00183,0.005446,0.005446,0.005446
25,8348.86,0.60895,0.66762,1.06687,0.76847,0.80948,0.8343,0.72302,0.57585,0.55211,0.99831,0.005248,0.005248,0.005248
26,8627.01,0.60299,0.66054,1.06642,0.83854,0.78247,0.84679,0.73988,0.57005,0.53068,0.99549,0.00505,0.00505,0.00505
27,8907.79,0.59936,0.65071,1.06483,0.84231,0.7902,0.846,0.74097,0.5731,0.532,0.9978,0.004852,0.004852,0.004852
28,9190.6,0.59174,0.63751,1.0595,0.81411,0.8031,0.84303,0.7392,0.57072,0.53513,0.99333,0.004654,0.004654,0.004654
29,9469.13,0.58792,0.62698,1.05979,0.84697,0.79405,0.86039,0.75648,0.5643,0.49006,0.98668,0.004456,0.004456,0.004456
30,9757.61,0.57683,0.61396,1.05306,0.83666,0.77756,0.85673,0.7494,0.56563,0.51934,0.98904,0.004258,0.004258,0.004258
